"visitor_id","visit_date","utm_source","utm_medium","utm_campaign","lead_id","created_at","amount","closing_reason","status_id"
"35060e525ca62de0a0aa93992c7e07799d855f79",2023-06-01 10:40:28.000,yandex,cpc,prof-frontend,"26066151",2023-06-15 12:52:40.000,237990,Успешная продажа,142
d183fbda6f03b965a1cd1cee0a3f7b81a44b78ec,2023-06-01 14:39:00.000,yandex,cpc,base-frontend,"74450379",2023-06-30 14:36:31.000,201150,Успешная продажа,142
ca003c89182365dd75262e54772fda03ee923e92,2023-06-01 04:58:00.000,vk,cpc,freemium-frontend,"48838540",2023-06-20 20:49:16.000,189210,Успешная продажа,142
d31c95902f2d3183e7052c235ad72d82838e98c2,2023-06-01 10:44:00.000,yandex,cpc,freemium,"21579820",2023-06-19 15:28:22.000,188991,Успешная продажа,142
fd1438246c3b520c8dfa1aed4c73133c8ca10ab4,2023-06-01 14:57:00.000,yandex,cpc,prof-frontend,"23169912",2023-06-14 06:13:44.000,180306,Успешная продажа,142
b6ddcd9f994bad353f37b0c5f7115b66d07b10c2,2023-06-01 03:41:00.000,vk,cpc,prof-java,"50769366",2023-06-15 11:43:46.000,178800,Успешная продажа,142
f2db2eb1295e51cf3426e4211172d839e7f93ddc,2023-06-01 19:39:00.000,yandex,cpc,prof-frontend,"25327894",2023-06-11 21:57:08.000,167625,Успешная продажа,142
bd5ad484a0cf7f80c1522009dd4ee3d825f35a46,2023-06-01 11:34:00.000,yandex,cpc,base-python,"73882489",2023-06-26 08:36:49.000,160920,Успешная продажа,142
f1dc9c36bd7269ed93e736b29de33e0e7a02e1a3,2023-06-20 15:15:04.701,telegram,cpp,base-java,"20614407",2023-06-26 17:47:47.000,151192,Успешная продажа,142
"36d4c2cfec3dba3a50cfd0d31ace2d4dcb70560c",2023-06-01 16:43:00.000,yandex,cpc,dod-php,"24703215",2023-06-03 14:40:56.000,150255,Успешная продажа,142
d7583b6b8c06f2b20ddc7696eddddde22732628d,2023-06-01 15:46:00.000,yandex,cpc,prof-data-analytics,"41399181",2023-06-11 20:56:50.000,144244,Успешная продажа,142
a8f7e7f5f6e82302b52b7c20eef185ce545fa7c3,2023-06-01 08:33:02.000,yandex,cpc,prof-python,"16525599",2023-06-09 16:34:41.000,134100,Успешная продажа,142
"38b518ac99dd585a2a1e9ea206e9f142363a7644",2023-06-01 10:54:00.000,yandex,cpc,freemium,"75245425",2023-06-20 20:39:27.000,134100,Успешная продажа,142
"59b8c47d60163a74b848b65860970d89015771ef",2023-06-01 19:10:00.000,yandex,cpc,base-professions-retarget,"42023860",2023-06-09 19:38:08.000,134100,Успешная продажа,142
"47bdab8c9fdbb38d178a0b2a6b7c07ef8a2b0e0e",2023-06-30 09:18:57.436,admitad,cpa,admitad,"72973865",2023-06-25 12:33:45.000,134100,Успешная продажа,142
"3c8209cca648fa3189f0b15865ecf682c299b511",2023-06-01 05:02:00.000,vk,cpc,prof-python,"70418360",2023-06-28 09:52:22.000,126000,Успешная продажа,142
"47a249189ee6d3c65818da918806807db7e71238",2023-06-01 18:42:00.000,yandex,cpc,prof-python,"40774502",2023-06-16 10:41:39.000,125995,Успешная продажа,142
